image_name	concepts
GRP2013-974762.001	C0944777;C1144702;C0184661;C0945766;C0005435;C0449999;C0744488;C3538935;C1960687;C3274430;C3539779
ct-2014-004109_0003	C1292856;C1561528;C3242479;C0556565;C0041175
ijms-40-13-g001	C2981151;C1551341;C4042786;C0035877;C0728940;C1881238;C0230247;C1552858;C1706368;C0015252;C0700320;C0225116;C1550557;C0019554;C0012691;C2004459;C3899237;C2078227;C0346867;C3241921
IJPsy-57-91-g001	C1736924;C0412588;C3701996;C0412618;C2183251;C0202823;C0362076;C0412631;C0412630;C0412632;C4075845;C1281590;C0040405;C0412638;C0412611;C0018670;C0040398;C0729619;C3839692;C0876917;C1507248;C2181323;C1960244;C0049903;C0449900;C0202691;C4041317;C3203982;C0412594;C1956110;C1705733;C0582945;C0152336;C2350281;C0412620;C0412621;C0936234;C0009924;C0412604;C0412644;C0412628;C0412629;C0008794;C2141917;C0412603;C0412640;C0412641;C0412643;C1959841;C0412645;C0412647;C0412648;C2717955;C3843918;C0860888;C2959990;C1507293;C0412649;C2315673;C1706255;C2316004;C2315672
IJPsy-57-91-g002	C1736924;C0412588;C3701996;C0412618;C2183251;C0202823;C0362076;C0412631;C0412630;C0412632;C4075845;C1281590;C0040405;C0412638;C0412611;C0018670;C0040398;C0729619;C3839692;C0876917;C1507248;C2181323;C1960244;C0049903;C0449900;C0202691;C4041317;C3203982;C0412594;C1956110;C1705733;C0582945;C0152336;C2350281;C0412620;C0412621;C0936234;C0009924;C0412604;C0412644;C0412628;C0412629;C0008794;C2141917;C0412603;C0412640;C0412641;C0412643;C1959841;C0412645;C0412647;C0412648;C2717955;C3843918;C0860888;C2959990;C1507293;C0412649;C2315673;C1706255;C2316004;C2315672
jem.2068iti2fig1	C3542499;C0268468;C0034341;C0034345;C0175683;C1865145;C2936797;C1971019;C0268118;C0342870;C3280642;C2676232;C3280641;C0220754;C2718304;C0342386;C1291230;C0220992;C0015519;C0398777;C0342686;C2676285;C3887992;C0268124;C0268125;C0751202;C0268603;C0599035;C0268601;C0268600;C0342769;C3165209;C0684324;C0020621;C0271629;C0268193;C2717836;C0032827;C3502055;C0268524;C0343047;C1517002;C2025557;C3151466;C0162429;C0008533;C2936779;C0162538;C0162539;C0265325;C1536500;C0162531;C1843920;C0239989;C0023817;C0340968;C4082171;C0268621;C3151078;C1969809;C0019069;C0268147;C3151189;C0221757;C0000744;C0860904;C1959620;C0268543;C0271561;C0268237;C1522551;C3150902;C0268255;C0268547;C0268542;C1283620;C0398595;C1849507;C0026705;C1860042;C0085132;C3280527;C0017922;C0017921;C1852529;C0268225;C2713546;C2983285;C0206307;C0020676;C3899844;C0272339;C3711378;C0002986;C0342803;C0878676;C0268418;C4282398;C0597143;C3150275;C1841972;C0268490;C3151080;C0015526;C3665349;C0039585;C0015523;C1970848;C1835849;C3151082;C1848029;C2939465;C1864694;C0268487;C3280586;C3279716;C1332655;C0268575;C0085257;C0268579;C0392607;C1969443;C0751436;C1961835;C0751434;C1855796;C3492932;C0015503;C0043208;C4283841
NRR-8-2510-g007	C1281426;C0815508;C0227622;C1403208;C0549207;C3498577;C0815507;C0580758;C0153665;C2338258;C1279112;C2238203;C1875400;C0394735;C1278851;C0426056;C2096041;C1706368;C0580784;C0149940;C1139930;C1720594;C0032143;C1263136;C3642316;C1548802;C1269079;C1550557;C0441236;C0332803;C1305052;C1279061;C1336751;C0815715;C0815714;C0751925;C0032181;C0224815;C0224429;C0005971;C0036394;C2364485;C0751438;C0023216;C0184898;C0562344;C0240958;C0043194;C0015811
gr1	C0234518;C0013798;C0150255;C1623258;C0344232;C0429107;C1546708;C1550557;C0203597;C2199647;C0373389;C0429067;C1837463;C1706368;C0049903;C1997354;C1705651;C0439775;C0441102;C0430456;C0203601;C0203602;C0203603;C0771936;C0332575;C0376152;C0520886;C0373388;C3843918;C2094505;C1706255
gr2	C2108112;C0151636;C0750189;C0039451;C1998349;C1739149;C0260284;C1739417;C1556236;C1556235;C1556234;C1556233;C1556232;C1561444;C0876757;C0018790;C0155710;C3809142;C0042510;C0455538;C0948108;C1828220;C0340493;C1735340;C0049903;C3264698;C0033036;C1962976;C0344435;C0004238;C3843918;C1706255
gr3	C0001558;C0360162;C0150255;C1536282;C0203597;C1285812;C0199808;C0428967;C0021440;C3214130;C1293131;C0179525;C0771936;C0855329;C0199810;C0376495;C0376152;C0232333;C0438154;C3845829;C0522054;C4084955;C2215949;C0036589;C0429104;C1705651;C0236140;C0373389;C0373388;C1837463;C0049903;C0282210;C0199566;C0001560;C0001563;C0199568;C1534841;C1546708;C1315020;C1457883;C0022245;C0725057;C3469597;C2094505;C0013798;C0430461;C0424758;C1623258;C1547300;C0340305;C2348003;C0574032;C2199647;C0849142;C0180600;C3542426;C2826754;C0514032;C4283785;C0854643;C1548760;C1533734;C0278336;C2360550;C0455708;C0332575;C0199556;C0878565;C0429089;C0429085;C0150270;C2216046;C0877038;C0023472;C1815293;C0430456;C0179504;C0203601;C0203602;C0203603;C1132004;C0014268;C0421623;C2826700;C3843918;C1706255
