/home/ubuntu/anaconda3/envs/pytorch0.4_py27/lib/python2.7/site-packages/matplotlib/__init__.py:1067: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #2
  (fname, cnt))
/home/ubuntu/anaconda3/envs/pytorch0.4_py27/lib/python2.7/site-packages/matplotlib/__init__.py:1067: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #3
  (fname, cnt))
/home/ubuntu/yupeng/CLEF_Updated/utils/CLEF.py:26: FutureWarning: set_value is deprecated and will be removed in a future release. Please use .at[] or .iat[] accessors instead
  self.clef.set_value(i, 'caption', caption.lower())
Namespace(batch_size=9, cap_con_train='./CaptionConceptTraining.csv', cap_con_valid='./CaptionConceptValidation.csv', image_root='/data/CaptionTraining2018', lr=0.001, num_concepts=111156, num_epochs=25, num_workers=1, shuffle=False, vocab_concept='./data/concept_voc.pkl', vocab_word_path='./utils/vocab.pkl')
use gpu!!!!!!!!!!!!!!!!!!!!!!!!!!!!
The number of captions before deletion: 199489
The number of captions after deletion: 199489
train_mil.py:36: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  total_step, loss.data[0],
train_mil.py:37: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  np.exp(loss.data[0]),
Epoch [0/25]: [0/22166], loss: 0.6955, perplexity: 2.0048, batch_f1: 0.0004
Epoch [0/25]: [1000/22166], loss: 0.0022, perplexity: 1.0022, batch_f1: 0.0075
Epoch [0/25]: [2000/22166], loss: 0.0025, perplexity: 1.0025, batch_f1: 0.0076
Epoch [0/25]: [3000/22166], loss: 0.0015, perplexity: 1.0015, batch_f1: 0.0056
Epoch [0/25]: [4000/22166], loss: 0.0011, perplexity: 1.0011, batch_f1: 0.0033
Epoch [0/25]: [5000/22166], loss: 0.0018, perplexity: 1.0018, batch_f1: 0.0036
Epoch [0/25]: [6000/22166], loss: 0.0020, perplexity: 1.0020, batch_f1: 0.0042
Epoch [0/25]: [7000/22166], loss: 0.0019, perplexity: 1.0019, batch_f1: 0.0049
Epoch [0/25]: [8000/22166], loss: 0.0031, perplexity: 1.0031, batch_f1: 0.0107
Epoch [0/25]: [9000/22166], loss: 0.0017, perplexity: 1.0017, batch_f1: 0.0028
Epoch [0/25]: [10000/22166], loss: 0.0012, perplexity: 1.0012, batch_f1: 0.0031
Epoch [0/25]: [11000/22166], loss: 0.0014, perplexity: 1.0014, batch_f1: 0.0039
Epoch [0/25]: [12000/22166], loss: 0.0014, perplexity: 1.0014, batch_f1: 0.0032
Epoch [0/25]: [13000/22166], loss: 0.0017, perplexity: 1.0017, batch_f1: 0.0048
Epoch [0/25]: [14000/22166], loss: 0.0016, perplexity: 1.0016, batch_f1: 0.0029
Epoch [0/25]: [15000/22166], loss: 0.0019, perplexity: 1.0019, batch_f1: 0.0043
Epoch [0/25]: [16000/22166], loss: 0.0018, perplexity: 1.0018, batch_f1: 0.0056
Epoch [0/25]: [17000/22166], loss: 0.0018, perplexity: 1.0018, batch_f1: 0.0043
Epoch [0/25]: [18000/22166], loss: 0.0021, perplexity: 1.0021, batch_f1: 0.0049
Epoch [0/25]: [19000/22166], loss: 0.0016, perplexity: 1.0016, batch_f1: 0.0043
Epoch [0/25]: [20000/22166], loss: 0.0013, perplexity: 1.0013, batch_f1: 0.0030
Epoch [0/25]: [21000/22166], loss: 0.0016, perplexity: 1.0016, batch_f1: 0.0055
Epoch [0/25]: [22000/22166], loss: 0.0017, perplexity: 1.0017, batch_f1: 0.0043
Epoch [1/25]: [0/22166], loss: 0.0022, perplexity: 1.0022, batch_f1: 0.0045
Epoch [1/25]: [1000/22166], loss: 0.0020, perplexity: 1.0020, batch_f1: 0.0061
Epoch [1/25]: [2000/22166], loss: 0.0013, perplexity: 1.0013, batch_f1: 0.0038
Epoch [1/25]: [3000/22166], loss: 0.0023, perplexity: 1.0023, batch_f1: 0.0053
Epoch [1/25]: [4000/22166], loss: 0.0009, perplexity: 1.0009, batch_f1: 0.0028
Epoch [1/25]: [5000/22166], loss: 0.0012, perplexity: 1.0012, batch_f1: 0.0029
Epoch [1/25]: [6000/22166], loss: 0.0023, perplexity: 1.0023, batch_f1: 0.0087
Epoch [1/25]: [7000/22166], loss: 0.0020, perplexity: 1.0020, batch_f1: 0.0043
Epoch [1/25]: [8000/22166], loss: 0.0014, perplexity: 1.0014, batch_f1: 0.0046
Epoch [1/25]: [9000/22166], loss: 0.0019, perplexity: 1.0019, batch_f1: 0.0058
Epoch [1/25]: [10000/22166], loss: 0.0027, perplexity: 1.0027, batch_f1: 0.0087
Epoch [1/25]: [11000/22166], loss: 0.0014, perplexity: 1.0014, batch_f1: 0.0037
Epoch [1/25]: [12000/22166], loss: 0.0019, perplexity: 1.0019, batch_f1: 0.0040
Epoch [1/25]: [13000/22166], loss: 0.0017, perplexity: 1.0017, batch_f1: 0.0055
Epoch [1/25]: [14000/22166], loss: 0.0014, perplexity: 1.0014, batch_f1: 0.0023
Epoch [1/25]: [15000/22166], loss: 0.0027, perplexity: 1.0027, batch_f1: 0.0097
Epoch [1/25]: [16000/22166], loss: 0.0021, perplexity: 1.0022, batch_f1: 0.0063
Epoch [1/25]: [17000/22166], loss: 0.0018, perplexity: 1.0018, batch_f1: 0.0050
Epoch [1/25]: [18000/22166], loss: 0.0014, perplexity: 1.0014, batch_f1: 0.0038
Epoch [1/25]: [19000/22166], loss: 0.0015, perplexity: 1.0015, batch_f1: 0.0047
Epoch [1/25]: [20000/22166], loss: 0.0014, perplexity: 1.0014, batch_f1: 0.0077
Epoch [1/25]: [21000/22166], loss: 0.0016, perplexity: 1.0016, batch_f1: 0.0048
